INFORMAÇÕES DO GUI
Tempo: 0 sec
[IDbola:0(  rad: 3, mass: 3, x: 5, y: 5, vx: -2.01655, vy: 9.64419 );
IDbola:58(  rad: 3, mass: 2, x: 5, y: 5805, vx: -4.68303, vy: 1.49419 );
IDbola:59(  rad: 2, mass: 10, x: 5, y: 5905, vx: 9.74421, vy: 0.177285 );
IDbola:60(  rad: 2, mass: 6, x: 5, y: 6005, vx: 3.65785, vy: -0.0496008 );
IDbola:61(  rad: 2, mass: 5, x: 5, y: 6105, vx: 6.24599, vy: -4.5546 );
IDbola:62(  rad: 2, mass: 8, x: 5, y: 6205, vx: -5.33163, vy: 2.85096 );
IDbola:63(  rad: 1, mass: 9, x: 5, y: 6305, vx: 4.72793, vy: -5.78294 );
IDbola:64(  rad: 2, mass: 1, x: 5, y: 6405, vx: 8.123, vy: -2.19739 );
IDbola:65(  rad: 2, mass: 3, x: 5, y: 6505, vx: 5.95056, vy: -9.38612 );
IDbola:66(  rad: 2, mass: 7, x: 5, y: 6605, vx: 5.31243, vy: 0.383246 );
IDbola:67(  rad: 1, mass: 10, x: 5, y: 6705, vx: -9.45071, vy: -7.02601 );
IDbola:68(  rad: 2, mass: 5, x: 5, y: 6805, vx: -5.13482, vy: -3.44925 );
IDbola:69(  rad: 2, mass: 10, x: 5, y: 6905, vx: 2.60319, vy: 8.3942 );
IDbola:70(  rad: 2, mass: 1, x: 5, y: 7005, vx: 9.66533, vy: 5.83885 );
IDbola:71(  rad: 2, mass: 3, x: 5, y: 7105, vx: 0.861423, vy: 7.57645 );
IDbola:72(  rad: 3, mass: 1, x: 5, y: 7205, vx: 3.61831, vy: -7.70331 );
IDbola:73(  rad: 2, mass: 9, x: 5, y: 7305, vx: 8.87426, vy: -7.33184 );
IDbola:74(  rad: 3, mass: 8, x: 5, y: 7405, vx: 9.45948, vy: -2.92349 );
IDbola:75(  rad: 1, mass: 10, x: 5, y: 7505, vx: -2.76577, vy: -5.6661 );
IDbola:76(  rad: 3, mass: 5, x: 5, y: 7605, vx: -2.36421, vy: 3.93219 );
IDbola:77(  rad: 1, mass: 6, x: 5, y: 7705, vx: 1.77902, vy: 4.52761 );
IDbola:78(  rad: 3, mass: 10, x: 5, y: 7805, vx: -2.60231, vy: -8.95443 );
IDbola:79(  rad: 2, mass: 7, x: 5, y: 7905, vx: 7.89556, vy: -6.82947 );
IDbola:80(  rad: 3, mass: 3, x: 5, y: 8005, vx: -6.50282, vy: 2.63332 );
IDbola:81(  rad: 1, mass: 1, x: 5, y: 8105, vx: 4.47028, vy: 5.16494 );
IDbola:82(  rad: 3, mass: 7, x: 5, y: 8205, vx: 0.854152, vy: -8.6503 );
IDbola:83(  rad: 2, mass: 1, x: 5, y: 8305, vx: 8.76745, vy: -9.53427 );
IDbola:84(  rad: 1, mass: 3, x: 5, y: 8405, vx: 2.68353, vy: 2.08182 );
IDbola:85(  rad: 3, mass: 8, x: 5, y: 8505, vx: -6.91683, vy: 7.31294 );
IDbola:86(  rad: 2, mass: 10, x: 5, y: 8605, vx: 7.24803, vy: -2.75991 );
IDbola:87(  rad: 1, mass: 8, x: 5, y: 8705, vx: -4.07243, vy: -3.06766 );
IDbola:88(  rad: 1, mass: 8, x: 5, y: 8805, vx: -3.2531, vy: -8.55645 );
IDbola:89(  rad: 3, mass: 3, x: 5, y: 8905, vx: 6.87436, vy: -2.86102 );
IDbola:90(  rad: 1, mass: 10, x: 5, y: 9005, vx: 8.85516, vy: 9.64914 );
IDbola:91(  rad: 1, mass: 5, x: 5, y: 9105, vx: 9.58142, vy: -1.90333 );
IDbola:92(  rad: 3, mass: 6, x: 5, y: 9205, vx: 9.2811, vy: -3.44331 );
IDbola:93(  rad: 1, mass: 9, x: 5, y: 9305, vx: -4.24232, vy: 9.72337 );
IDbola:94(  rad: 1, mass: 2, x: 5, y: 9405, vx: 3.12047, vy: 8.85846 );
IDbola:95(  rad: 3, mass: 9, x: 5, y: 9505, vx: 9.52342, vy: -9.40565 );
IDbola:96(  rad: 3, mass: 9, x: 5, y: 9605, vx: -3.83276, vy: 4.02417 );
IDbola:97(  rad: 2, mass: 2, x: 5, y: 9705, vx: -0.0455176, vy: -0.0271379 );
IDbola:98(  rad: 1, mass: 8, x: 5, y: 9805, vx: 5.90703, vy: 0.384699 );
IDbola:99(  rad: 1, mass: 8, x: 5, y: 9905, vx: 4.66058, vy: 0.208544 );
IDbola:100(  rad: 3, mass: 1, x: 105, y: 5, vx: -8.61833, vy: -8.13559 );
IDbola:101(  rad: 2, mass: 2, x: 105, y: 105, vx: 9.08559, vy: -6.34827 );
IDbola:102(  rad: 3, mass: 1, x: 105, y: 205, vx: -1.73653, vy: 4.33392 );
IDbola:103(  rad: 2, mass: 5, x: 105, y: 305, vx: -5.51224, vy: -5.94645 );
IDbola:104(  rad: 1, mass: 4, x: 105, y: 405, vx: 3.3824, vy: 9.1815 );
IDbola:105(  rad: 3, mass: 6, x: 105, y: 505, vx: 3.27862, vy: 5.48382 );
IDbola:106(  rad: 1, mass: 2, x: 105, y: 605, vx: -6.03487, vy: 0.0678863 );
IDbola:107(  rad: 1, mass: 3, x: 105, y: 705, vx: 6.0374, vy: 9.55638 );
IDbola:108(  rad: 1, mass: 8, x: 105, y: 805, vx: 1.52938, vy: -7.44212 );
IDbola:109(  rad: 2, mass: 7, x: 105, y: 905, vx: 8.09891, vy: -2.6934 );
IDbola:110(  rad: 3, mass: 8, x: 105, y: 1005, vx: -8.2809, vy: 4.87545 );
IDbola:111(  rad: 2, mass: 1, x: 105, y: 1105, vx: -5.41562, vy: -8.54797 );
IDbola:112(  rad: 3, mass: 1, x: 105, y: 1205, vx: 9.63838, vy: -8.964 );
IDbola:113(  rad: 1, mass: 6, x: 105, y: 1305, vx: -2.16096, vy: -3.44309 );
IDbola:114(  rad: 1, mass: 1, x: 105, y: 1405, vx: 3.23592, vy: -2.82819 );
IDbola:115(  rad: 1, mass: 7, x: 105, y: 1505, vx: -2.62656, vy: -2.69156 );
IDbola:116(  rad: 3, mass: 10, x: 105, y: 1605, vx: -9.39753, vy: 6.15778 );
IDbola:117(  rad: 3, mass: 4, x: 105, y: 1705, vx: 2.44816, vy: 9.99284 );
IDbola:118(  rad: 1, mass: 5, x: 105, y: 1805, vx: -3.6824, vy: 1.1374 );
IDbola:119(  rad: 3, mass: 8, x: 105, y: 1905, vx: 1.59977, vy: -5.04803 );
IDbola:120(  rad: 1, mass: 9, x: 105, y: 2005, vx: -1.22597, vy: -1.56665 );
IDbola:121(  rad: 1, mass: 7, x: 105, y: 2105, vx: -0.16747, vy: -1.66373 );
IDbola:122(  rad: 3, mass: 2, x: 105, y: 2205, vx: 8.49214, vy: -3.69668 );
IDbola:123(  rad: 3, mass: 5, x: 105, y: 2305, vx: 8.2923, vy: 1.75963 );
IDbola:124(  rad: 1, mass: 4, x: 105, y: 2405, vx: 2.79064, vy: 0.440341 );
IDbola:125(  rad: 1, mass: 7, x: 105, y: 2505, vx: 5.45029, vy: -3.01811 );
IDbola:126(  rad: 3, mass: 4, x: 105, y: 2605, vx: 2.5239, vy: -1.79574 );
IDbola:127(  rad: 1, mass: 7, x: 105, y: 2705, vx: 0.625043, vy: 5.13092 );
IDbola:128(  rad: 3, mass: 1, x: 105, y: 2805, vx: 6.7283, vy: -0.831067 );
IDbola:129(  rad: 2, mass: 10, x: 105, y: 2905, vx: -2.9122, vy: -7.34828 );
IDbola:130(  rad: 3, mass: 1, x: 105, y: 3005, vx: 7.26248, vy: 4.29366 );
IDbola:131(  rad: 2, mass: 5, x: 105, y: 3105, vx: -7.58759, vy: 4.21793 );
IDbola:132(  rad: 1, mass: 7, x: 105, y: 3205, vx: 8.54227, vy: 9.99201 );
IDbola:133(  rad: 3, mass: 4, x: 105, y: 3305, vx: -6.14336, vy: -8.72412 );
IDbola:134(  rad: 3, mass: 10, x: 105, y: 3405, vx: -5.5439, vy: -8.13621 );
IDbola:135(  rad: 2, mass: 1, x: 105, y: 3505, vx: 1.69012, vy: 9.51154 );
IDbola:136(  rad: 1, mass: 10, x: 105, y: 3605, vx: -1.16675, vy: 2.43976 );
IDbola:137(  rad: 2, mass: 6, x: 105, y: 3705, vx: -7.94086, vy: -5.82624 );
IDbola:138(  rad: 1, mass: 7, x: 105, y: 3805, vx: -3.39847, vy: 4.51241 );
IDbola:139(  rad: 3, mass: 9, x: 105, y: 3905, vx: -4.28005, vy: -6.48889 );
IDbola:140(  rad: 1, mass: 10, x: 105, y: 4005, vx: 1.80395, vy: 7.65432 );
IDbola:141(  rad: 3, mass: 4, x: 105, y: 4105, vx: -8.18358, vy: -3.26194 );
IDbola:142(  rad: 2, mass: 2, x: 105, y: 4205, vx: -9.09788, vy: -8.59134 );
IDbola:143(  rad: 1, mass: 3, x: 105, y: 4305, vx: -0.527844, vy: -1.0012 );
IDbola:144(  rad: 1, mass: 1, x: 105, y: 4405, vx: -6.98487, vy: 7.91778 );
IDbola:145(  rad: 2, mass: 2, x: 105, y: 4505, vx: -1.21001, vy: -2.30709 );
IDbola:146(  rad: 1, mass: 4, x: 105, y: 4605, vx: 5.95155, vy: 7.32661 );
IDbola:147(  rad: 1, mass: 3, x: 105, y: 4705, vx: -0.355055, vy: -9.83511 );
IDbola:148(  rad: 3, mass: 3, x: 105, y: 4805, vx: -6.53981, vy: -1.44541 );
IDbola:149(  rad: 3, mass: 10, x: 105, y: 4905, vx: 9.96282, vy: 2.61194 );
IDbola:150(  rad: 2, mass: 3, x: 105, y: 5005, vx: 7.31814, vy: -3.08373 );
IDbola:151(  rad: 1, mass: 2, x: 105, y: 5105, vx: 8.05793, vy: 0.783207 );
IDbola:152(  rad: 2, mass: 3, x: 105, y: 5205, vx: 9.957, vy: -9.90826 );
IDbola:153(  rad: 1, mass: 8, x: 105, y: 5305, vx: -6.58069, vy: -3.5197 );
IDbola:154(  rad: 2, mass: 4, x: 105, y: 5405, vx: 7.13668, vy: -6.75926 );
IDbola:155(  rad: 3, mass: 6, x: 105, y: 5505, vx: -1.06901, vy: 5.64451 );
IDbola:156(  rad: 1, mass: 6, x: 105, y: 5605, vx: -7.06665, vy: -1.26373 );
IDbola:157(  rad: 1, mass: 1, x: 105, y: 5705, vx: 4.09008, vy: -3.05368 );
IDbola:158(  rad: 2, mass: 8, x: 105, y: 5805, vx: -4.45927, vy: 9.5584 );
IDbola:159(  rad: 2, mass: 7, x: 105, y: 5905, vx: 8.35152, vy: -2.16436 );
IDbola:160(  rad: 2, mass: 8, x: 105, y: 6005, vx: -6.79869, vy: 3.91521 );
IDbola:161(  rad: 1, mass: 9, x: 105, y: 6105, vx: 9.23247, vy: 2.16461 );
IDbola:162(  rad: 2, mass: 3, x: 105, y: 6205, vx: 6.99514, vy: -1.32855 );
IDbola:163(  rad: 2, mass: 4, x: 105, y: 6305, vx: -3.89536, vy: 9.63329 );
IDbola:164(  rad: 1, mass: 4, x: 105, y: 6405, vx: 8.35622, vy: 0.118888 );
IDbola:165(  rad: 1, mass: 10, x: 105, y: 6505, vx: 7.90103, vy: -9.82915 );
IDbola:166(  rad: 2, mass: 8, x: 105, y: 6605, vx: 8.0826, vy: -9.45678 );
IDbola:167(  rad: 1, mass: 8, x: 105, y: 6705, vx: 5.06888, vy: -8.41176 );
IDbola:168(  rad: 3, mass: 8, x: 105, y: 6805, vx: 6.30464, vy: 2.71167 );
IDbola:169(  rad: 1, mass: 9, x: 105, y: 6905, vx: 6.82758, vy: 2.26786 );
IDbola:170(  rad: 1, mass: 3, x: 105, y: 7005, vx: 4.76441, vy: -4.12837 );
IDbola:171(  rad: 1, mass: 2, x: 105, y: 7105, vx: 4.37585, vy: -2.27225 );
IDbola:172(  rad: 1, mass: 3, x: 105, y: 7205, vx: 2.74283, vy: 6.31743 );
IDbola:173(  rad: 3, mass: 7, x: 105, y: 7305, vx: -2.85773, vy: -9.785 );
IDbola:174(  rad: 3, mass: 3, x: 105, y: 7405, vx: -0.534553, vy: -7.36844 );
IDbola:175(  rad: 1, mass: 1, x: 105, y: 7505, vx: -2.63871, vy: 5.30332 );
IDbola:176(  rad: 3, mass: 1, x: 105, y: 7605, vx: 6.38661, vy: -1.17257 );
IDbola:177(  rad: 3, mass: 4, x: 105, y: 7705, vx: -1.07565, vy: 6.3224 );
IDbola:178(  rad: 1, mass: 1, x: 105, y: 7805, vx: 5.71801, vy: -1.46396 );
IDbola:179(  rad: 2, mass: 5, x: 105, y: 7905, vx: 3.2819, vy: 7.17689 );
IDbola:180(  rad: 2, mass: 9, x: 105, y: 8005, vx: -9.5534, vy: 7.20853 );
IDbola:181(  rad: 1, mass: 7, x: 105, y: 8105, vx: 9.60231, vy: 7.20103 );
IDbola:182(  rad: 3, mass: 9, x: 105, y: 8205, vx: 7.40752, vy: 9.38512 );
IDbola:183(  rad: 2, mass: 4, x: 105, y: 8305, vx: -0.225467, vy: 7.83732 );
IDbola:184(  rad: 1, mass: 2, x: 105, y: 8405, vx: 0.398145, vy: -6.8284 );
IDbola:185(  rad: 3, mass: 7, x: 105, y: 8505, vx: 2.5934, vy: -4.87531 );
IDbola:186(  rad: 1, mass: 8, x: 105, y: 8605, vx: -5.32021, vy: -2.11558 );
IDbola:187(  rad: 3, mass: 10, x: 105, y: 8705, vx: -7.94571, vy: -4.53189 );
IDbola:188(  rad: 1, mass: 9, x: 105, y: 8805, vx: -0.841289, vy: 6.92174 );
IDbola:189(  rad: 1, mass: 3, x: 105, y: 8905, vx: 7.01977, vy: 6.11277 );
IDbola:190(  rad: 2, mass: 10, x: 105, y: 9005, vx: 9.82223, vy: 7.72585 );
IDbola:191(  rad: 1, mass: 8, x: 105, y: 9105, vx: -5.76221, vy: 4.2543 );
IDbola:192(  rad: 2, mass: 4, x: 105, y: 9205, vx: 2.11905, vy: 7.79371 );
IDbola:193(  rad: 2, mass: 2, x: 105, y: 9305, vx: 1.82425, vy: -3.90711 );
IDbola:194(  rad: 1, mass: 9, x: 105, y: 9405, vx: 5.5798, vy: -3.07267 );
IDbola:195(  rad: 2, mass: 9, x: 105, y: 9505, vx: 5.28314, vy: -2.15942 );
IDbola:196(  rad: 2, mass: 4, x: 105, y: 9605, vx: -8.75295, vy: -0.122985 );
IDbola:197(  rad: 3, mass: 8, x: 105, y: 9705, vx: 2.62946, vy: 9.64852 );
IDbola:198(  rad: 1, mass: 6, x: 105, y: 9805, vx: 4.89229, vy: 3.0517 );
IDbola:199(  rad: 2, mass: 10, x: 105, y: 9905, vx: 9.91067, vy: 0.596575 );
IDbola:200(  rad: 3, mass: 1, x: 205, y: 5, vx: -1.11669, vy: 7.93988 );
IDbola:201(  rad: 1, mass: 7, x: 205, y: 105, vx: -4.46954, vy: -3.36482 );
IDbola:202(  rad: 1, mass: 4, x: 205, y: 205, vx: -0.396188, vy: 8.8889 );
IDbola:203(  rad: 1, mass: 2, x: 205, y: 305, vx: -2.63734, vy: 3.80475 );
IDbola:204(  rad: 1, mass: 8, x: 205, y: 405, vx: -8.66787, vy: 8.43594 );
IDbola:205(  rad: 3, mass: 6, x: 205, y: 505, vx: -8.50304, vy: 0.403899 );
IDbola:206(  rad: 1, mass: 5, x: 205, y: 605, vx: 0.818653, vy: 1.64972 );
IDbola:207(  rad: 3, mass: 7, x: 205, y: 705, vx: 6.25296, vy: 1.71268 );
IDbola:208(  rad: 2, mass: 6, x: 205, y: 805, vx: 8.91923, vy: 1.32433 );
IDbola:209(  rad: 2, mass: 1, x: 205, y: 905, vx: -5.30104, vy: -8.04625 );
IDbola:210(  rad: 2, mass: 3, x: 205, y: 1005, vx: 7.45972, vy: 7.61601 );
IDbola:211(  rad: 3, mass: 8, x: 205, y: 1105, vx: 5.46294, vy: 7.95115 );
IDbola:212(  rad: 1, mass: 6, x: 205, y: 1205, vx: -6.70755, vy: 5.98304 );
IDbola:213(  rad: 1, mass: 4, x: 205, y: 1305, vx: -0.0952045, vy: -9.14555 );
IDbola:214(  rad: 2, mass: 4, x: 205, y: 1405, vx: 0.342889, vy: 6.94315 );
IDbola:215(  rad: 2, mass: 5, x: 205, y: 1505, vx: -8.61133, vy: -4.29923 );
IDbola:216(  rad: 2, mass: 2, x: 205, y: 1605, vx: 0.26022, vy: -2.89677 );
IDbola:217(  rad: 2, mass: 4, x: 205, y: 1705, vx: 6.77553, vy: -4.40389 );
IDbola:218(  rad: 2, mass: 4, x: 205, y: 1805, vx: -7.41749, vy: 1.49759 );
IDbola:219(  rad: 1, mass: 7, x: 205, y: 1905, vx: 7.45305, vy: 5.96193 );
IDbola:220(  rad: 1, mass: 9, x: 205, y: 2005, vx: 7.08649, vy: -7.67323 );
IDbola:221(  rad: 3, mass: 8, x: 205, y: 2105, vx: -4.87485, vy: 1.43171 );
IDbola:222(  rad: 3, mass: 9, x: 205, y: 2205, vx: 4.69986, vy: 2.09587 );
IDbola:223(  rad: 3, mass: 3, x: 205, y: 2305, vx: 9.02819, vy: -3.24105 );
IDbola:224(  rad: 1, mass: 1, x: 205, y: 2405, vx: -3.47043, vy: -9.82811 );
IDbola:225(  rad: 1, mass: 6, x: 205, y: 2505, vx: 8.18978, vy: -7.759 );
IDbola:226(  rad: 2, mass: 9, x: 205, y: 2605, vx: -8.83394, vy: 8.2642 );
IDbola:227(  rad: 3, mass: 9, x: 205, y: 2705, vx: 0.691339, vy: 4.47204 );
IDbola:228(  rad: 2, mass: 6, x: 205, y: 2805, vx: -4.2234, vy: -6.1812 );
IDbola:229(  rad: 1, mass: 1, x: 205, y: 2905, vx: -8.05585, vy: -0.584571 );
IDbola:230(  rad: 3, mass: 10, x: 205, y: 3005, vx: 0.030809, vy: -7.63807 );
IDbola:231(  rad: 2, mass: 4, x: 205, y: 3105, vx: -6.45286, vy: 7.67958 );
IDbola:232(  rad: 3, mass: 6, x: 205, y: 3205, vx: -5.33519, vy: 2.23367 );
IDbola:233(  rad: 2, mass: 7, x: 205, y: 3305, vx: -3.55915, vy: -6.03779 );
IDbola:234(  rad: 3, mass: 3, x: 205, y: 3405, vx: -4.7403, vy: -6.87687 );
IDbola:235(  rad: 2, mass: 10, x: 205, y: 3505, vx: -2.99152, vy: 3.78178 );
IDbola:236(  rad: 1, mass: 6, x: 205, y: 3605, vx: 6.55919, vy: -1.7474 );
IDbola:237(  rad: 3, mass: 1, x: 205, y: 3705, vx: -2.52568, vy: 8.71681 );
IDbola:238(  rad: 1, mass: 1, x: 205, y: 3805, vx: -2.8022, vy: -5.97392 );
IDbola:239(  rad: 2, mass: 7, x: 205, y: 3905, vx: 3.69315, vy: 9.86358 );
IDbola:240(  rad: 2, mass: 7, x: 205, y: 4005, vx: -5.43453, vy: 5.05533 );
IDbola:241(  rad: 2, mass: 1, x: 205, y: 4105, vx: 1.59585, vy: 3.30335 );
IDbola:242(  rad: 3, mass: 5, x: 205, y: 4205, vx: 8.51629, vy: -5.02958 );
IDbola:243(  rad: 2, mass: 2, x: 205, y: 4305, vx: -0.307701, vy: -0.0881027 );
IDbola:244(  rad: 3, mass: 9, x: 205, y: 4405, vx: -7.81982, vy: 0.729667 );
IDbola:245(  rad: 3, mass: 2, x: 205, y: 4505, vx: 4.32226, vy: -9.74654 );
IDbola:246(  rad: 1, mass: 7, x: 205, y: 4605, vx: -9.80505, vy: 7.73744 );
IDbola:247(  rad: 3, mass: 4, x: 205, y: 4705, vx: 3.40843, vy: -9.08478 );
IDbola:248(  rad: 2, mass: 8, x: 205, y: 4805, vx: 1.97749, vy: 7.96835 );
IDbola:249(  rad: 3, mass: 9, x: 205, y: 4905, vx: -9.67883, vy: 0.825153 );
IDbola:250(  rad: 3, mass: 8, x: 205, y: 5005, vx: -2.51893, vy: 5.93632 );
IDbola:251(  rad: 1, mass: 5, x: 205, y: 5105, vx: 7.56819, vy: 5.40703 );
IDbola:252(  rad: 1, mass: 10, x: 205, y: 5205, vx: -4.03333, vy: 9.91461 );
IDbola:253(  rad: 1, mass: 8, x: 205, y: 5305, vx: -0.760728, vy: -7.68791 );
IDbola:254(  rad: 1, mass: 5, x: 205, y: 5405, vx: 3.9634, vy: 9.56191 );
IDbola:255(  rad: 1, mass: 6, x: 205, y: 5505, vx: -6.43075, vy: -9.55093 );
IDbola:256(  rad: 3, mass: 3, x: 205, y: 5605, vx: -2.03357, vy: 1.32813 );
IDbola:257(  rad: 1, mass: 1, x: 205, y: 5705, vx: -9.18618, vy: -6.42524 );
IDbola:258(  rad: 1, mass: 3, x: 205, y: 5805, vx: -1.21875, vy: -0.178498 );
IDbola:259(  rad: 1, mass: 2, x: 205, y: 5905, vx: -6.27942, vy: -8.94218 );
IDbola:260(  rad: 1, mass: 4, x: 205, y: 6005, vx: -5.37868, vy: -7.6477 );
IDbola:261(  rad: 1, mass: 5, x: 205, y: 6105, vx: -8.65386, vy: 9.59165 );
IDbola:262(  rad: 2, mass: 9, x: 205, y: 6205, vx: -1.52109, vy: 5.01531 );
IDbola:263(  rad: 1, mass: 9, x: 205, y: 6305, vx: 0.948964, vy: -0.0119799 );
IDbola:264(  rad: 2, mass: 5, x: 205, y: 6405, vx: 6.5305, vy: 6.5049 );
IDbola:265(  rad: 2, mass: 4, x: 205, y: 6505, vx: 0.643958, vy: -8.46474 );
IDbola:266(  rad: 2, mass: 2, x: 205, y: 6605, vx: -9.9709, vy: -1.41917 );
IDbola:267(  rad: 1, mass: 5, x: 205, y: 6705, vx: -1.77501, vy: 3.30799 );
IDbola:268(  rad: 1, mass: 4, x: 205, y: 6805, vx: -0.589306, vy: -8.58306 );
IDbola:269(  rad: 2, mass: 4, x: 205, y: 6905, vx: -1.65026, vy: -1.19293 );
IDbola:270(  rad: 3, mass: 1, x: 205, y: 7005, vx: 9.13004, vy: -9.638 );
IDbola:271(  rad: 3, mass: 7, x: 205, y: 7105, vx: -9.75406, vy: -2.59775 );
IDbola:272(  rad: 1, mass: 8, x: 205, y: 7205, vx: 7.3928, vy: -9.82155 );
